,Date,Open,Close,High,Low
0,2015-05-19,232.02,233.96,235.17,231.47
1,2015-05-20,233.96,235.38,236.65,233.61
2,2015-05-21,235.38,240.37,242.0,234.56
3,2015-05-22,240.37,238.94,241.73,238.05
4,2015-05-23,238.94,240.98,242.39,237.48
5,2015-05-24,240.98,237.41,241.79,235.81
6,2015-05-25,237.41,237.84,238.99,235.58
7,2015-05-26,237.84,237.29,238.95,235.89
8,2015-05-27,237.29,237.32,238.41,236.23
9,2015-05-28,237.32,237.03,237.89,235.13
10,2015-05-29,237.03,233.22,237.06,231.59
11,2015-05-30,233.22,229.84,233.99,229.13
12,2015-05-31,229.84,223.14,231.76,220.97
13,2015-06-01,223.14,225.74,227.44,222.25
14,2015-06-02,225.74,225.59,227.86,223.69
15,2015-06-03,225.59,224.22,226.71,223.49
16,2015-06-04,224.22,225.29,226.36,222.15
17,2015-06-05,225.29,224.74,225.76,223.53
18,2015-06-06,224.74,223.47,226.36,222.21
19,2015-06-07,223.47,228.57,229.91,222.99
20,2015-06-08,228.57,229.56,231.36,227.51
21,2015-06-09,229.56,228.79,230.44,227.84
22,2015-06-10,228.79,229.88,230.64,228.54
23,2015-06-11,229.88,230.46,231.58,229.29
24,2015-06-12,230.46,232.48,233.14,229.01
25,2015-06-13,232.48,233.75,235.51,232.09
26,2015-06-14,233.75,237.0,238.55,233.29
27,2015-06-15,237.0,249.82,254.15,235.7
28,2015-06-16,249.82,247.38,258.48,245.09
29,2015-06-17,247.38,248.44,251.95,242.46
30,2015-06-18,248.44,244.13,250.81,243.65
31,2015-06-19,244.13,244.98,246.63,238.7
32,2015-06-20,244.98,244.1,246.03,240.94
33,2015-06-21,244.1,247.46,248.6,243.16
34,2015-06-22,247.46,243.76,247.67,242.32
35,2015-06-23,243.76,240.56,244.51,239.05
36,2015-06-24,240.56,242.56,243.65,239.32
37,2015-06-25,242.56,242.95,243.49,240.14
38,2015-06-26,242.95,250.73,251.57,241.83
39,2015-06-27,250.73,248.88,251.59,246.62
40,2015-06-28,248.88,256.97,257.54,247.96
41,2015-06-29,256.97,264.12,268.73,255.37
42,2015-06-30,264.12,257.62,265.0,254.41
43,2015-07-01,257.62,254.88,261.29,253.09
44,2015-07-02,254.88,255.4,256.71,252.44
45,2015-07-03,255.4,260.55,261.08,253.37
46,2015-07-04,260.55,270.14,274.14,257.61
47,2015-07-05,270.14,269.08,277.48,266.46
48,2015-07-06,269.08,266.21,271.34,263.21
49,2015-07-07,266.21,268.64,273.57,263.18
50,2015-07-08,268.64,269.14,272.31,265.13
51,2015-07-09,269.14,283.62,297.85,266.91
52,2015-07-10,283.62,291.97,298.76,282.28
53,2015-07-11,291.97,310.44,315.88,291.26
54,2015-07-12,310.44,290.35,310.88,276.85
55,2015-07-13,290.35,286.96,296.96,285.17
56,2015-07-14,286.96,283.42,292.92,283.17
57,2015-07-15,283.42,276.59,290.84,273.28
58,2015-07-16,276.59,279.62,280.76,271.17
59,2015-07-17,279.62,274.05,282.53,243.24
60,2015-07-18,274.05,273.18,277.07,271.85
61,2015-07-19,273.18,277.68,278.85,271.82
62,2015-07-20,277.68,275.09,281.05,274.19
63,2015-07-21,275.09,276.46,277.39,273.12
64,2015-07-22,276.46,275.52,277.85,274.47
65,2015-07-23,275.52,288.37,289.81,274.26
66,2015-07-24,288.37,288.74,291.24,284.67
67,2015-07-25,288.74,291.77,293.28,286.77
68,2015-07-26,291.77,293.01,295.79,285.4
69,2015-07-27,293.01,293.7,296.68,291.67
70,2015-07-28,293.7,288.37,294.72,286.89
71,2015-07-29,288.37,287.02,289.89,284.91
72,2015-07-30,287.02,283.73,288.69,280.77
73,2015-07-31,283.73,280.47,284.53,276.3
74,2015-08-01,280.47,281.36,282.5,275.93
75,2015-08-02,281.36,281.58,285.0,278.94
76,2015-08-03,281.58,284.3,285.66,279.58
77,2015-08-04,284.3,281.72,285.45,280.53
78,2015-08-05,281.72,278.0,281.98,276.46
79,2015-08-06,278.0,277.89,279.6,274.28
80,2015-08-07,277.89,258.6,278.92,257.42
81,2015-08-08,258.6,263.87,266.75,258.56
82,2015-08-09,263.87,263.3,266.63,260.52
83,2015-08-10,263.3,269.03,269.9,261.44
84,2015-08-11,269.03,267.66,271.5,263.66
85,2015-08-12,267.66,263.44,268.39,261.28
86,2015-08-13,263.44,265.03,267.22,260.21
87,2015-08-14,265.03,260.52,266.55,259.38
88,2015-08-15,260.52,257.12,261.92,254.57
89,2015-08-16,257.12,257.13,259.93,252.87
90,2015-08-17,257.13,246.72,257.53,245.74
91,2015-08-18,246.72,226.0,247.95,214.29
92,2015-08-19,226.0,234.66,238.03,225.54
93,2015-08-20,234.66,232.4,236.3,230.48
94,2015-08-21,232.4,229.54,235.07,221.04
95,2015-08-22,229.54,226.75,232.7,224.27
96,2015-08-23,226.75,211.43,228.43,207.82
97,2015-08-24,211.43,220.51,226.55,196.26
98,2015-08-25,220.51,224.97,230.69,218.79
99,2015-08-26,224.97,222.73,228.44,222.0
100,2015-08-27,222.73,231.64,234.81,219.6
101,2015-08-28,231.64,228.5,233.09,226.35
102,2015-08-29,228.5,228.4,232.32,225.44
103,2015-08-30,228.4,229.47,231.79,224.2
104,2015-08-31,229.47,227.18,231.45,225.76
105,2015-09-01,227.18,228.63,230.59,225.57
106,2015-09-02,228.63,226.2,229.62,225.36
107,2015-09-03,226.2,230.25,231.06,225.75
108,2015-09-04,230.25,233.67,235.61,228.29
109,2015-09-05,233.67,239.86,243.64,234.74
110,2015-09-06,239.86,239.58,242.66,237.49
111,2015-09-07,239.58,243.24,246.38,239.23
112,2015-09-08,243.24,237.41,244.34,236.49
113,2015-09-09,237.41,238.08,240.63,234.31
114,2015-09-10,238.08,239.9,241.02,237.38
115,2015-09-11,239.9,235.6,240.32,233.32
116,2015-09-12,235.6,230.19,236.16,228.28
117,2015-09-13,230.19,229.91,232.64,225.96
118,2015-09-14,229.91,229.53,242.83,228.03
119,2015-09-15,229.53,228.6,230.89,225.05
120,2015-09-16,228.6,232.72,235.17,227.95
121,2015-09-17,232.72,232.21,234.69,230.58
122,2015-09-18,232.21,231.11,233.35,230.21
123,2015-09-19,231.11,231.09,232.67,229.93
124,2015-09-20,231.09,226.33,231.63,225.0
125,2015-09-21,226.33,230.01,233.24,224.07
126,2015-09-22,230.01,229.89,232.2,228.5
127,2015-09-23,229.89,233.76,235.84,229.57
128,2015-09-24,233.76,235.03,237.58,232.7
129,2015-09-25,235.03,234.3,235.71,232.74
130,2015-09-26,234.3,232.5,234.75,231.84
131,2015-09-27,232.5,238.87,240.39,232.37
132,2015-09-28,238.87,236.71,240.39,234.8
133,2015-09-29,236.71,235.93,237.83,234.39
134,2015-09-30,235.93,237.05,238.66,234.7
135,2015-10-01,237.05,236.71,238.45,235.14
136,2015-10-02,236.71,238.58,239.52,236.07
137,2015-10-03,238.58,238.33,277.58,237.51
138,2015-10-04,238.33,240.15,240.53,236.41
139,2015-10-05,240.15,246.14,247.61,239.36
140,2015-10-06,246.14,242.98,247.28,241.65
141,2015-10-07,242.98,242.58,244.79,241.57
142,2015-10-08,242.58,244.04,244.56,241.34
143,2015-10-09,244.04,245.35,245.93,242.89
144,2015-10-10,245.35,247.65,248.26,244.47
145,2015-10-11,247.65,245.35,248.02,244.65
146,2015-10-12,245.35,248.78,251.19,243.11
147,2015-10-13,248.78,252.33,255.06,248.28
148,2015-10-14,252.33,254.44,256.76,251.17
149,2015-10-15,254.44,262.87,267.27,253.93
150,2015-10-16,262.87,269.58,275.41,261.74
151,2015-10-17,269.58,261.67,272.44,259.53
152,2015-10-18,261.67,263.82,265.95,259.89
153,2015-10-19,263.82,269.75,272.12,262.7
154,2015-10-20,269.75,267.11,272.17,263.54
155,2015-10-21,267.11,274.42,278.74,266.8
156,2015-10-22,274.42,276.92,279.77,273.17
157,2015-10-23,276.92,282.56,283.05,277.01
158,2015-10-24,282.56,287.86,295.56,281.75
159,2015-10-25,287.86,285.15,287.62,279.62
160,2015-10-26,285.15,294.66,298.43,285.09
