,Date,Open,Close,High,Low
0,2015-05-19,0,0,0,0
1,2015-05-20,0,0,0,0
2,2015-05-21,0,0,0,0
3,2015-05-22,0,0,0,0
4,2015-05-23,0,0,0,0
5,2015-05-24,0,0,0,0
6,2015-05-25,0,0,0,0
7,2015-05-26,0,0,0,0
8,2015-05-27,0,0,0,0
9,2015-05-28,0,0,0,0
10,2015-05-29,0,0,0,0
11,2015-05-30,0,0,0,0
12,2015-05-31,0,0,0,0
13,2015-06-01,0,0,0,0
14,2015-06-02,0,0,0,0
15,2015-06-03,0,0,0,0
16,2015-06-04,0,0,0,0
17,2015-06-05,0,0,0,0
18,2015-06-06,0,0,0,0
19,2015-06-07,0,0,0,0
20,2015-06-08,0,0,0,0
21,2015-06-09,0,0,0,0
22,2015-06-10,0,0,0,0
23,2015-06-11,0,0,0,0
24,2015-06-12,0,0,0,0
25,2015-06-13,0,0,0,0
26,2015-06-14,0,0,0,0
27,2015-06-15,0,0,0,0
28,2015-06-16,0,0,0,0
29,2015-06-17,0,0,0,0
30,2015-06-18,0,0,0,0
31,2015-06-19,0,0,0,0
32,2015-06-20,0,0,0,0
33,2015-06-21,0,0,0,0
34,2015-06-22,0,0,0,0
35,2015-06-23,0,0,0,0
36,2015-06-24,0,0,0,0
37,2015-06-25,0,0,0,0
38,2015-06-26,0,0,0,0
39,2015-06-27,0,0,0,0
40,2015-06-28,0,0,0,0
41,2015-06-29,0,0,0,0
42,2015-06-30,0,0,0,0
43,2015-07-01,0,0,0,0
44,2015-07-02,0,0,0,0
45,2015-07-03,0,0,0,0
46,2015-07-04,0,0,0,0
47,2015-07-05,0,0,0,0
48,2015-07-06,0,0,0,0
49,2015-07-07,0,0,0,0
50,2015-07-08,0,0,0,0
51,2015-07-09,0,0,0,0
52,2015-07-10,0,0,0,0
53,2015-07-11,0,0,0,0
54,2015-07-12,0,0,0,0
55,2015-07-13,0,0,0,0
56,2015-07-14,0,0,0,0
57,2015-07-15,0,0,0,0
58,2015-07-16,0,0,0,0
59,2015-07-17,0,0,0,0
60,2015-07-18,0,0,0,0
61,2015-07-19,0,0,0,0
62,2015-07-20,0,0,0,0
63,2015-07-21,0,0,0,0
64,2015-07-22,0,0,0,0
65,2015-07-23,0,0,0,0
66,2015-07-24,0,0,0,0
67,2015-07-25,0,0,0,0
68,2015-07-26,0,0,0,0
69,2015-07-27,0,0,0,0
70,2015-07-28,0,0,0,0
71,2015-07-29,0,0,0,0
72,2015-07-30,0,0,0,0
73,2015-07-31,0,0,0,0
74,2015-08-01,0,0,0,0
75,2015-08-02,0,0,0,0
76,2015-08-03,0,0,0,0
77,2015-08-04,0,0,0,0
78,2015-08-05,0,0,0,0
79,2015-08-06,0.7812,2.773,27.79,0.7809
80,2015-08-07,2.773,0.8076,2.581,0.5958
81,2015-08-08,0.8076,0.7428,0.9581,0.6043
82,2015-08-09,0.7428,0.6846,0.7628,0.599
83,2015-08-10,0.6846,1.059,1.165,0.6548
84,2015-08-11,1.059,1.252,1.294,0.8118
85,2015-08-12,1.252,1.781,2.013,1.102
86,2015-08-13,1.781,1.801,2.319,1.721
87,2015-08-14,1.801,1.656,1.856,1.499
88,2015-08-15,1.656,1.437,1.701,1.069
89,2015-08-16,1.437,1.195,1.594,1.144
90,2015-08-17,1.195,1.271,1.317,1.054
91,2015-08-18,1.271,1.263,1.287,1.13
92,2015-08-19,1.263,1.481,1.537,1.235
93,2015-08-20,1.481,1.438,1.573,1.334
94,2015-08-21,1.438,1.387,1.519,1.342
95,2015-08-22,1.387,1.347,1.427,1.257
96,2015-08-23,1.347,1.244,1.296,1.177
97,2015-08-24,1.244,1.166,1.312,1.106
98,2015-08-25,1.166,1.158,1.205,1.075
99,2015-08-26,1.158,1.132,1.166,1.112
100,2015-08-27,1.132,1.186,1.207,1.153
101,2015-08-28,1.186,1.18,1.188,1.145
102,2015-08-29,1.18,1.327,1.375,1.161
103,2015-08-30,1.327,1.351,1.433,1.203
104,2015-08-31,1.351,1.35,1.39,1.322
105,2015-09-01,1.35,1.288,1.366,1.257
106,2015-09-02,1.288,1.259,1.305,1.187
107,2015-09-03,1.259,1.273,1.322,1.243
108,2015-09-04,1.273,1.32,1.342,1.283
109,2015-09-05,1.32,1.301,1.371,1.288
110,2015-09-06,1.301,1.242,1.311,1.226
111,2015-09-07,1.242,1.23,1.277,1.224
112,2015-09-08,1.23,1.207,1.256,1.184
113,2015-09-09,1.207,1.162,1.216,1.121
114,2015-09-10,1.162,0.9754,1.18,0.9097
115,2015-09-11,0.9754,1.041,1.109,0.9516
116,2015-09-12,1.041,0.9378,1.029,0.8938
117,2015-09-13,0.9378,0.8743,0.9564,0.8612
118,2015-09-14,0.8743,0.9436,0.9982,0.861
119,2015-09-15,0.9436,0.903,0.9473,0.8959
120,2015-09-16,0.903,0.8853,0.9248,0.821
121,2015-09-17,0.8853,0.8501,0.8924,0.8257
122,2015-09-18,0.8501,0.8882,0.917,0.8295
123,2015-09-19,0.8882,0.9403,0.9454,0.8714
124,2015-09-20,0.9403,0.9019,0.9474,0.8734
125,2015-09-21,0.9019,0.8963,0.9401,0.8398
126,2015-09-22,0.8963,0.895,0.9065,0.8782
127,2015-09-23,0.895,0.8142,0.9245,0.7127
128,2015-09-24,0.8142,0.7408,0.8301,0.6595
129,2015-09-25,0.7408,0.779,0.7884,0.6975
130,2015-09-26,0.779,0.7219,0.7884,0.7131
131,2015-09-27,0.7219,0.5879,0.7479,0.5506
132,2015-09-28,0.6,0.6816,0.6816,0.5
133,2015-09-29,0.6607,0.7177,0.7557,0.6259
134,2015-09-30,0.7177,0.6818,0.7436,0.6166
135,2015-10-01,0.6818,0.6758,0.6926,0.6472
136,2015-10-02,0.6758,0.6866,0.7134,0.6745
137,2015-10-03,0.6866,0.6661,0.6954,0.6602
138,2015-10-04,0.6661,0.6287,0.6883,0.6189
139,2015-10-05,0.6287,0.6555,0.6587,0.6016
140,2015-10-06,0.6555,0.6116,0.659,0.5955
141,2015-10-07,0.6116,0.6205,0.6419,0.5851
